,type,city,latitude,longitude,price_range,rating,votes,photo_count,delivery,area,chain_restaurant,indian,asian,western,middle_eastern,fast_food,others,highlights_count
170,Casual Dining,Agra,27.21015971,77.9678598,3,3.6,65,18,1,240928,1,1,0,0,0,0,0,10
171,Quick Bites,Agra,27.1896885,78.0106742,1,3.3,11,1,0,240928,0,0,0,0,0,1,0,9
172,Café/Bakery,Agra,27.15894272,78.01062997,1,0.0,2,1,0,240928,0,0,0,0,0,0,0,3
173,Quick Bites,Agra,27.2147616,78.0186926,1,3.3,5,0,0,240928,0,0,0,0,0,0,0,2
174,Café/Bakery,Agra,27.1887523,77.9616578,1,4.3,119,3,1,240928,0,0,0,0,0,0,1,4
175,Café/Bakery,Agra,27.2136311,78.0079567,1,4.1,120,3,1,240928,0,0,0,0,0,1,1,3
176,Other,Agra,27.18265285,77.96648718,1,3.8,156,11,0,240928,0,0,0,0,0,1,0,2
177,Café/Bakery,Agra,27.2084184,78.024265,1,3.8,76,16,1,240928,0,0,0,0,0,0,1,5
178,Quick Bites,Agra,27.1981216,78.0071598,1,3.9,67,23,1,240928,0,0,0,0,0,0,1,8
179,Quick Bites,Agra,27.187935,77.9854673,1,3.9,74,2,1,240928,0,0,0,0,0,1,0,3
180,Quick Bites,Agra,27.20586,77.97183,1,3.8,63,1,0,240928,0,1,0,0,0,0,0,6
181,Quick Bites,Agra,27.22196494,78.01064674,1,3.7,69,4,0,240928,0,0,0,0,0,0,1,2
182,Quick Bites,Agra,27.2074083,77.9870967,1,3.7,35,2,1,240928,0,0,0,0,0,0,1,5
183,Café/Bakery,Agra,27.21486806,78.0210584,1,3.0,47,9,1,240928,0,0,0,0,0,0,1,4
184,Quick Bites,Agra,27.20494,78.00471,1,3.8,48,2,0,240928,0,0,0,0,0,1,0,4
185,Quick Bites,Agra,27.1935026,77.9653063,1,3.7,43,0,1,240928,1,0,0,0,0,1,1,5
186,Quick Bites,Agra,27.204485,77.9632565,1,3.7,33,9,1,240928,0,0,0,0,0,1,0,2
187,Quick Bites,Agra,27.1798148,77.9520701,1,3.6,37,0,1,240928,0,0,0,0,0,1,0,4
188,Café/Bakery,Agra,27.18784728,77.98767596,1,2.8,35,2,1,240928,1,0,0,0,0,1,0,7
189,Café/Bakery,Agra,27.2041203,77.954034,1,3.6,35,1,0,240928,0,0,0,0,0,0,0,5
190,Quick Bites,Agra,27.159504,78.00989,1,3.3,10,36,1,240928,0,0,0,0,0,1,0,5
191,Quick Bites,Agra,27.1501129,78.0355636,1,3.5,35,2,0,240928,0,0,0,0,0,0,0,3
192,Quick Bites,Agra,27.1570434,78.01201,1,3.8,27,4,0,240928,0,0,0,0,0,1,0,5
193,Quick Bites,Agra,27.15923029,78.01079661,1,3.6,20,9,0,240928,0,0,0,0,0,1,1,8
194,Quick Bites,Agra,27.2056104,77.968598,1,3.5,16,3,0,240928,0,1,0,0,0,0,0,6
